restaurant_link;restaurant_name;city;address;latitude;longitude;top_tags;price_level;meals;cuisines;special_diets;features;vegetarian_friendly;vegan_options;gluten_free;original_open_hours;avg_rating;total_reviews_count;excellent;very_good;average;poor;terrible;food;service;value
g187147-d8297251;McDonald's;Paris;282 avenue Daumesnil, 75012 Paris France;48.835438;2.405988;Cheap Eats, Quick Bites, Fast food;€;Breakfast Lunch Dinner;Fast food;;Takeout Delivery Seating Wheelchair Accessible;N;N;N;"{""Mon"": [""09:00-18:00""], ""Tue"": [""09:00-18:00""], ""Wed"": [""09:00-18:00""], ""Thu"": [""09:00-18:00""], ""Fri"": [""09:00-18:00""], ""Sat"": [""09:00-18:00""], ""Sun"": [""09:00-18:00""]}";2.5;32.0;2.0;3.0;2.0;1.0;2.0;2.5;2.5;3.0
g187147-d8297461;McDonald's;Paris;1 rue du Commerce, 75015 Paris France;48.848793;2.29783;Cheap Eats, Quick Bites, Fast food;€;;Fast food;;Delivery Takeout Wheelchair Accessible;N;N;N;"{""Mon"": [""08:00-22:00""], ""Tue"": [""08:00-22:00""], ""Wed"": [""08:00-22:00""], ""Thu"": [""08:00-22:00""], ""Fri"": [""08:00-22:00""], ""Sat"": [""08:00-22:00""], ""Sun"": [""08:00-22:00""]}";2.5;52.0;1.0;0.0;1.0;1.0;10.0;3.0;2.5;3.0
g187147-d8297462;McDonald's;Paris;10 Place de Clichy, 75009 Paris France;48.88352;2.328318;Cheap Eats, Fast food;€;Lunch Dinner;Fast food;;Takeout Seating Wheelchair Accessible;N;N;N;"{""Mon"": [""09:00-18:00""], ""Tue"": [""09:00-18:00""], ""Wed"": [""09:00-18:00""], ""Thu"": [""09:00-18:00""], ""Fri"": [""09:00-18:00""], ""Sat"": [""09:00-18:00""], ""Sun"": [""09:00-18:00""]}";2.5;31.0;3.0;4.0;2.0;1.0;1.0;3.0;3.0;3.0
g187147-d8297477;McDonald's;Paris;111 cours de Vincennes, 75020 Paris France;48.847534;2.410778;Cheap Eats, Fast food;€;Lunch Dinner;Fast food;;Wheelchair Accessible Seating;N;N;N;"{""Mon"": [""10:00-18:00""], ""Tue"": [""10:00-18:00""], ""Wed"": [""10:00-18:00""], ""Thu"": [""10:00-18:00""], ""Fri"": [""10:00-18:00""], ""Sat"": [""10:00-18:00""], ""Sun"": [""10:00-18:00""]}";2.5;16.0;0.0;0.0;0.0;1.0;1.0;3.0;1.0;3.5
g187147-d8297494;McDonald's;Paris;131 avenue Victor Hugo, 75016 Paris France;48.867855;2.281098;Cheap Eats, Quick Bites, American, Fast food;€;Breakfast Lunch Dinner;American Fast food;;Delivery Seating Wheelchair Accessible;N;N;N;"{""Mon"": [""08:30-22:00""], ""Tue"": [""08:30-22:00""], ""Wed"": [""08:30-22:00""], ""Thu"": [""08:30-22:00""], ""Fri"": [""08:30-22:00""], ""Sat"": [""08:30-22:00""], ""Sun"": [""08:30-22:00""]}";2.5;15.0;1.0;1.0;2.0;0.0;1.0;;;
g187147-d8297541;McDonald's;Paris;211 boulevard Vincent Auriol, 75013 Paris France;48.83078;2.356982;Cheap Eats, Fast food;€;Breakfast Lunch Dinner;Fast food;;Takeout Wheelchair Accessible Delivery;N;N;N;"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""11:00-22:00""], ""Sun"": [""11:00-22:00""]}";2.5;18.0;1.0;0.0;1.0;0.0;1.0;3.0;2.0;3.0
g187147-d8297549;McDonalds Paris Porte De Saint Cloud;Paris;234 avenue de Versailles, 75016 Paris France;48.83833;2.257797;Cheap Eats, Quick Bites, Fast food;€;Breakfast;Fast food;;Delivery Wheelchair Accessible;N;N;N;"{""Mon"": [""08:00-22:00""], ""Tue"": [""08:00-22:00""], ""Wed"": [""08:00-22:00""], ""Thu"": [""08:00-22:00""], ""Fri"": [""08:00-22:00""], ""Sat"": [""08:00-22:00""], ""Sun"": [""08:00-22:00""]}";3.0;12.0;1.0;3.0;0.0;0.0;0.0;;;
g187147-d8297631;McDonald's;Paris;67 boulevard Davout, 75020 Paris France;48.85318;2.410329;Cheap Eats;€;Breakfast Lunch Dinner;;;Wheelchair Accessible;N;N;N;"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-02:00""], ""Fri"": [""11:00-02:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""11:00-00:00""]}";3.0;15.0;0.0;0.0;0.0;1.0;0.0;;;
g187147-d8297654;McDonald's;Paris;82-84 Avenue D'Italie, 75013 Paris France;48.826035;2.357253;Cheap Eats, Quick Bites, Fast food;€;Breakfast Lunch Dinner;Fast food;;Delivery Seating Wheelchair Accessible;N;N;N;"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""11:00-22:00""], ""Sun"": [""11:00-22:00""]}";2.0;15.0;0.0;1.0;2.0;1.0;0.0;;;
g187147-d8298951;Le Restaurant du Lagardere Paris Racing;Paris;Chemin de la Croix Catelan Bois de Boulogne, 75016 Paris France;48.86426;2.255544;Mid-range, French;€€-€€€;Drinks Breakfast Lunch Dinner;French;;Accepts Visa Reservations Seating Accepts American Express Accepts Mastercard Accepts Discover Table Service Wheelchair Accessible;N;N;N;"{""Mon"": [""08:00-20:30""], ""Tue"": [""08:00-22:00""], ""Wed"": [""08:00-22:00""], ""Thu"": [""08:00-22:00""], ""Fri"": [""08:00-22:00""], ""Sat"": [""08:00-22:00""], ""Sun"": [""08:00-20:30""]}";3.0;15.0;3.0;2.0;3.0;6.0;1.0;;;
